network	seed	method	AUROC	AUPRC	EP_5pct	EP_10pct	time_sec
3	6	iLSGRN	0.7533338617418989	0.2487383316465854	0.1737373737373737	0.103030303030303	26.487149238586422
3	6	TIGRESS	0.7224864265049737	0.2034012914985319	0.1575757575757575	0.0888888888888888	16.56690001487732
3	7	GENIE3	0.7703562794752903	0.2247010802211071	0.1818181818181818	0.105050505050505	27.24392533302307
3	7	GRNBoost2	0.7338839350585873	0.1368316960631946	0.1474747474747474	0.0848484848484848	4.816911220550537
3	7	iLSGRN	0.7533338617418989	0.2487383316465854	0.1737373737373737	0.103030303030303	28.81864023208618
3	7	TIGRESS	0.7182002404258973	0.1988092930139538	0.1575757575757575	0.0888888888888888	16.62406086921692
3	8	GENIE3	0.7695937859152696	0.2318617130675533	0.1818181818181818	0.106060606060606	26.059199571609497
3	8	GRNBoost2	0.7158937370374774	0.1463843417232021	0.1454545454545454	0.0888888888888888	3.769322872161865
3	8	iLSGRN	0.7533338617418989	0.2487383316465854	0.1737373737373737	0.103030303030303	27.01895356178284
3	8	TIGRESS	0.7232153661210848	0.2018007888341134	0.1555555555555555	0.0919191919191919	15.896563529968262
3	9	GENIE3	0.7707240518368803	0.2221260222727573	0.1797979797979798	0.106060606060606	38.29843831062317
3	9	GRNBoost2	0.7613680497760869	0.1470684407661989	0.1515151515151515	0.0979797979797979	6.053997039794922
3	9	iLSGRN	0.7533338617418989	0.2487383316465854	0.1737373737373737	0.103030303030303	40.10316491127014
3	9	TIGRESS	0.7194150517179886	0.1997075233606565	0.1535353535353535	0.0909090909090909	27.38059949874878
4	0	GENIE3	0.7904278022812795	0.215555160439065	0.1717171717171717	0.1111111111111111	39.9922263622284
4	0	GRNBoost2	0.7198056231256533	0.1446428352931091	0.1595959595959596	0.1	5.929379463195801
4	0	iLSGRN	0.7605478240580635	0.2052265004548957	0.1737373737373737	0.104040404040404	41.47566509246826
4	0	TIGRESS	0.7500771627961351	0.2022481638170542	0.1575757575757575	0.1	28.916170597076416
4	1	GENIE3	0.7867787724291827	0.2095974296302513	0.1696969696969697	0.1101010101010101	36.88049602508545
4	1	GRNBoost2	0.7174936741181552	0.1324634863941771	0.1414141414141414	0.0888888888888888	5.389336347579956
4	1	iLSGRN	0.7605478240580635	0.2052265004548957	0.1737373737373737	0.104040404040404	40.14066553115845
